国内地区代码,国内地区名称
21015,辽宁沈阳、张士出口加工区
21019,沈阳其他
21022,大连经济技术开发区
21023,大连高新技术产业园区
21024,大连大窑湾保税区
21025,辽宁大连出口加工区
21026,大窑湾保税港区
21027,大连保税物流园区
21029,大连其他
21033,鞍山高新技术产业开发区
21039,鞍山其他
21049,抚顺
21059,本溪
21069,丹东
21079,锦州
21089,营口
21099,阜新
21109,辽阳
21119,盘锦
21129,铁岭
21139,朝阳
21149,葫芦岛市
21159,瓦房店
21169,海城
21179,兴城
21189,铁法
21199,北票
21209,开源
21909,辽宁其他
22012,长春经济技术开发区
22013,长春南湖-南岭新技术产业园区
22019,长春其他
22023,吉林高新技术产业开发区
22029,吉林其他
22039,四平
22049,辽源
22059,通化
22069,白山
22075,吉林珲春出口加工区
22079,珲春
22089,图们
22099,白城
22109,延边
22119,公主岭
22129,梅河口
22139,集安
22149,桦甸
22159,九台
22169,蛟河
22179,松原
22189,延吉市
22909,吉林其他
23012,哈尔滨经济技术开发区
23013,哈尔滨高技术开发区
23019,哈尔滨其他
23029,齐齐哈尔
23039,鸡西
23049,鹤岗
23059,双鸭山
23063,大庆高新技术产业开发区
23069,大庆其他
23079,伊春
23089,佳木斯
23099,七台河
23109,牡丹江
23119,黑河
23126,绥芬河综合保税区
23129,绥芬河
23139,松花江
23149,绥化
23159,大兴安岭
23169,阿城
23179,同江
23189,富锦
23199,铁力
23209,密山
23909,黑龙江其他
31019,黄浦
31029,南市
31039,卢湾
31043,上海漕河泾新技术开发区
31049,徐汇其他
31052,上海经济技术开发区
31059,长宁
31069,静安
31079,普陀
31089,闸北
31099,虹口
31109,杨浦
31112,上海闵行经济技术开发区
31113,上海浦江高科技园区
31115,上海漕河泾出口加工区
31119,闵行其他
31129,宝山
31145,上海嘉定出口加工区
31149,嘉定
31159,川沙
31162,上海闵行经济技术开发区（临港新城）
31166,洋山保税港区
31169,南汇
31175,上海闵行出口加工区
31179,奉贤
31185,上海松江出口加工区
31189,松江
31199,金山
31205,上海青浦出口加工区
31209,青浦
31219,崇明
31222,上海浦东新区
31224,上海外高桥保税区
31225,上海金桥出口加工区南区
31226,上海浦东机场综合保税区
31227,上海保税物流园区
31229,浦东其他
31909,上海其他
32013,南京浦口高新技术外向型开发区
32015,江苏南京出口加工区
32019,南京其他
32023,无锡高新技术产业开发区
32025,江苏无锡出口加工区
32029,无锡其他
32039,徐州
32043,常州高新技术产业开发区
32045,江苏常州出口加工区
32049,常州其他
32052,苏州工业园区
32053,苏州高新技术产业开发区
32055,江苏苏州工业园区加工区
32056,苏州工业园综合保税区、苏州高新综保区
32059,苏州其他
32062,南通经济技术开发区
32065,江苏南通出口加工区
32069,南通其他
32072,连云港经济技术开发区
32075,江苏连云港出口加工区
32079,连云港其他
32085,江苏淮安出口加工区
32089,淮安市
32099,盐城
32105,江苏扬州出口加工区
32109,扬州
32115,江苏镇江出口加工区
32119,镇江
32125,江苏泰州出口加工区
32129,泰州
32139,仪征
32145,江苏常熟出口加工区
32149,常熟
32154,江苏张家港保税区
32156,张家港保税港区
32157,张家港保税物流园
32159,张家港其他
32169,江阴
32179,宿迁
32189,丹阳
32199,东台
32209,兴化
32229,宜兴
32235,江苏昆山出口加工区
32236,昆山综合保税区
32239,昆山
32249,启东
32255,江苏吴江出口加工区
32259,吴江市
32269,太仓市
32909,江苏其他
33012,杭州经济技术开发区
33013,杭州高新技术产业开发区
33015,浙江杭州出口加工区
33019,杭州其他
33022,宁波经济技术开发区
33024,宁波北仑港保税区
33025,浙江宁波出口加工区
33026,宁波梅山保税港区
33027,宁波保税物流园
33029,宁波其他
33032,温州经济技术开发区
33039,温州其他
33045,浙江嘉兴出口加工区
33049,嘉兴
33059,湖州
33069,绍兴
33072,金华经济技术开发区
33079,金华
33089,衢州
33099,舟山
33109,丽水
33119,台州
33129,余姚
33139,海宁
33149,兰溪
33159,瑞安
33169,萧山
33179,江山
33189,义乌
33199,东阳
33205,浙江慈溪出口加工区
33209,慈溪
33219,奉化
33229,诸暨
33239,黄岩
33909,浙江其他
34012,合肥经济技术开发区
34013,合肥科技工业园区
34019,合肥其他
34022,芜湖经济技术开发区
34023,芜湖高新技术产业开发区
34025,安徽芜湖出口加工区
34029,芜湖其他
34033,蚌埠高新技术产业开发区
34039,蚌埠
34049,淮南
34052,马鞍山经济技术开发区
34059,马鞍山
34069,淮北
34072,铜陵经济技术开发区
34079,铜陵
34082,安庆经济技术开发区
34089,安庆
34099,黄山
34109,阜阳
34119,宿州
34122,滁州经济技术开发区
34129,滁州
34139,六安
34149,宣城
34159,巢湖
34162,池州经济技术开发区
34169,池州
34179,亳州
34909,安徽其他
35012,福州经济技术开发区
35013,福州科技园区
35014,福建马尾保税区
35015,福建福州、福清出口加工区
35017,福州保税物流园区
35019,福州其他
35021,厦门特区
35023,厦门火炬高技术产业开发区
35024,厦门象屿保税区
35025,福建厦门出口加工区
35026,厦门海沧保税港区
35027,厦门象屿保税物流园
35029,厦门其他
35039,莆田
35049,三明
35055,福建泉州出口加工区
35059,泉州
35069,漳州
35079,南平
35089,宁德
35099,龙岩
35109,永安
35119,石狮
35909,福建其他
36012,南昌经济技术开发区
36013,南昌高新技术产业开发区
36015,江西南昌出口加工区
36019,南昌其他
36023,景德镇高新技术产业开发区
36029,景德镇
36032,萍乡经济技术开发区
36039,萍乡
36042,九江经济技术开发区
36045,江西九江出口加工区
36049,九江
36053,新余高新技术产业开发区
36059,新余
36069,鹰潭
36072,赣州经济技术开发区
36075,江西赣州出口加工区
36079,赣州
36089,宜春
36092,上饶经济技术开发区
36099,上饶
36102,井冈山经济技术开发区
36109,吉安
36119,抚州
36129,瑞昌
36909,江西其他
37013,济南高技术产业开发区
37015,山东济南出口加工区
37019,济南其他
37022,青岛经济技术开发区
37023,青岛高新技术产业开发区
37024,青岛保税区
37025,山东青岛出口加工区
37026,青岛前湾保税港区
37027,青岛保税物流园
37029,青岛其他
37033,淄博高新技术产业开发区
37039,淄博
37049,枣庄
37059,东营
37062,烟台经济技术开发区
37065,山东烟台出口加工区
37069,烟台其他
37073,潍坊高新技术产业开发区
37075,山东潍坊出口加工区
37079,潍坊其他
37089,济宁
37099,泰安
37103,威海火炬高技术产业开发区
37105,山东威海出口加工区
37109,威海其他
37119,日照
37129,惠民
37139,德州
37149,聊城
37159,临沂
37169,菏泽
37179,青州
37189,龙口
37199,曲阜
37209,莱芜
37219,新泰
37229,胶州
37239,诸城
37249,莱阳
37259,滕州
37269,文登
37279,荣城
37289,即墨
37299,平度
37909,山东其他
41013,郑州高新技术开发区
41015,河南郑州出口加工区
41016,新郑综合保税区
41019,郑州其他
41029,开封
41033,洛阳高新技术产业开发区
41039,洛阳其他
41049,平顶山
41059,安阳
41069,鹤壁
41079,新乡
41089,焦作
41099,濮阳
41109,许昌
41119,漯河
41129,三门峡
41139,商丘
41149,周口
41159,驻马店
41169,南阳
41179,信阳
41189,义马
41199,汝州
41209,济源
41219,禹州
41229,卫辉
41239,辉县
41249,泌阳
41909,河南其他
42012,武汉经济技术开发区
42013,武汉东湖新技术开发区
42015,湖北武汉出口加工区
42019,武汉其他
42022,黄石经济技术开发区
42029,黄石
42039,十堰
42049,沙市
42059,宜昌
42062,襄阳经济技术开发区
42063,襄阳高新技术产业开发区
42069,襄阳其他
42079,鄂州
42089,荆门
42099,黄冈
42109,孝感
42119,咸宁
42122,荆州经济技术开发区
42129,荆州
42139,郧阳
42149,鄂西
42159,随州
42169,老河口
42179,枣阳
42189,神农架
42909,湖北其他
43013,长沙科技开发区
43019,长沙其他
43023,株州高新技术产业开发区
43029,株州其他
43039,湘潭
43049,衡阳
43059,邵阳
43069,岳阳
43079,常德
43089,张家界
43099,益阳
43109,娄底
43115,湖南郴州出口加工区
43119,郴州
43129,永州
43139,怀化
43149,湘西
43159,醴陵
43169,湘乡
43179,耒阳
43189,汩罗
43199,津市
43909,湖南其他
44012,广州经济技术开发区
44013,广州天河高新技术产业开发区
44014,广州保税区
44015,广东广州出口加工区
44017,广州保税物流园区
44019,广州其他
44029,韶关
44031,深圳特区
44033,深圳科技工业园
44034,福田盐田沙头角保税区
44035,广东深圳出口加工区
44036,深圳前海湾保税港区
44037,深圳盐田保税物流园
44039,深圳其他
44041,珠海特区
44043,珠海高新技术产业开发区
44044,珠海保税区
44045,珠澳跨境工业区珠海园区
44049,珠海其他
44051,汕头特区
44054,汕头保税区
44059,汕头其他
44063,佛山高新技术产业开发区
44069,佛山其他
44079,江门
44082,湛江经济技术开发区
44089,湛江其他
44099,茂名
44129,肇庆
44133,惠州高新技术产业开发区
44139,惠州其他
44149,梅州
44159,汕尾
44169,河源
44179,阳江
44189,清远
44199,东莞
44203,中山火炬高技术产业开发区
44209,中山其他
44219,潮州
44229,顺德
44235,广东南沙出口加工区
44236,广州南沙保税港区
44239,番禺
44249,揭阳
44289,南海
44299,云浮市
44909,广东其他
45013,南宁高新技术产业开发区
45019,南宁其他
45029,柳州
45033,桂林高新技术产业开发区
45039,桂林其他
45049,梧州
45055,广西北海出口加工区
45059,北海
45069,玉林
45079,百色
45089,河池
45096,广西钦州保税港区
45099,钦州
45106,广西凭祥综合保税区
45109,凭祥
45119,东兴
45129,防城港市
45139,贵港市
45149,崇左
45159,来宾
45169,贺州
45909,广西其他
46011,海口
46013,海南国际科技园区
46014,海南海口保税区
46016,海口综合保税区
46021,三亚
46901,海南其他
46902,海南洋浦经济技术开发区
46906,海南洋浦保税港区
50019,万州区
50029,涪陵区
50039,渝中区
50049,大渡口区
50052,重庆两江新区江北区
50056,重庆两路寸滩保税港区（水港）
50059,江北区
50066,重庆西永综合保税区
50069,沙坪坝区
50073,重庆高新技术产业开发区
50079,九龙坡区
50082,重庆经济技术开发区
50089,南岸区
50092,重庆两江新区北碚区
50099,北碚区
50109,万盛区
50119,双桥区
50122,重庆两江新区渝北区
50125,重庆出口加工区
50126,重庆两路寸滩保税港区（空港）
50129,渝北区
50139,巴南区
50219,长寿县
50229,綦江县
50239,潼南县
50249,铜梁县
50259,大足县
50269,荣昌县
50279,壁山县
50289,梁平县
50299,城口县
50309,丰都县
50319,垫江县
50329,武隆县
50339,忠县
50349,开县
50359,云阳县
50369,奉节县
50379,巫山县
50389,巫溪县
50399,黔江
50409,石柱土家族自治县
50419,秀山土家族苗族自治县
50429,酉阳土家族苗族自治县
50439,彭水苗族土家族自治县
50819,江津区
50829,合川区
50839,永川区
50849,南川区
51012,成都经济技术开发区
51013,成都高新技术产业开发区
51015,四川成都出口加工区
51016,成都高新综合保税区
51019,成都其他
51039,自贡
51049,攀枝花
51059,泸州
51069,德阳
51073,绵阳高新技术产业开发区
51075,四川绵阳出口加工区
51079,绵阳其他
51089,广元
51099,遂宁
51109,内江
51119,乐山
51149,宜宾
51159,南充
51169,达县
51179,雅安
51189,阿坝
51199,甘孜
51209,凉山
51229,广汉
51239,江油
51249,都江堰
51259,峨眉山
51269,资阳
51279,眉山
51289,广安
51299,巴中
51909,四川其他
52013,贵阳高新技术产业开发区
52019,贵阳其他
52029,六盘水
52039,遵义
52049,铜仁
52059,黔西南
52069,毕节
52079,安顺
52089,黔东南
52099,黔南
52909,贵州其他
53012,昆明经济技术开发区
53013,昆明高新技术产业开发区
53015,云南昆明出口加工区
53019,昆明其他
53029,东川
53039,昭通
53042,曲靖经济技术开发区
53049,曲靖
53059,楚雄
53069,玉溪
53079,红河
53089,文山
53099,普洱
53109,西双版纳
53119,大理
53129,保山
53139,德宏
53149,丽江
53159,怒江
53169,迪庆
53179,临沧
53189,畹町
53199,瑞丽
53209,河口
53909,云南其他
54019,拉萨
54029,昌都
54039,山南
54049,日喀则
54059,那曲
54069,阿里
54079,林芝
54909,西藏其他
61013,西安新技术产业开发区
61015,陕西西安出口加工区
61019,西安其他
61029,铜川
61033,宝鸡高新技术产业开发区
61039,宝鸡其他
61049,咸阳
61059,渭南
61069,汉中
61079,安康
61089,商洛
61099,延安
61109,榆林
61909,陕西其他
62013,兰州宁卧庄新技术产业开发区
62019,兰州其他
62029,嘉峪关
62039,金昌
62049,白银
62059,天水
62069,酒泉
62079,张掖
62089,武威
62099,定西
62109,陇南
62119,平凉
62129,庆阳
62139,临夏
62149,甘南
62909,甘肃其他
63012,西宁经济技术开发区
63013,青海高新技术产业开发区
63019,西宁
63029,海东
63039,海北
63049,黄南
63059,海南
63069,果洛
63079,玉树
63089,海西
63909,青海其他
64012,银川经济技术开发区
64019,银川
64029,石嘴山
64039,吴中
64049,固原
64059,中卫
64909,宁夏其他
65012,乌鲁木齐经济技术开发区
65013,乌鲁木齐高新技术产业开发区
65015,新疆乌鲁木齐出口加工区
65019,乌鲁木齐其他
65029,克拉玛依
65039,博乐
65049,巴音
65059,阿克苏
65069,克孜
65079,喀什
65089,和田
65099,伊宁
65109,塔城
65119,阿勒泰
65122,石河子经济技术开发区
65129,石河子
65219,吐鲁番
65229,哈密
65239,昌吉回族自治州
65909,新疆其他
